,id,Zip,Price,Price of square meter,Living area,Number of rooms,Furnished,Garden surface,Terrace surface,Open fire,Building Cond. values,Kitchen values,Primary energy consumption,Energy efficiency
0,10572051,9800,395000,3989.9,99,2,0,82,12,0,4,3,247,7
1,10578160,1200,540000,4500.0,120,2,0,0,10,0,4,3,73,7
2,10578364,4280,135000,2700.0,50,1,0,0,0,0,3,2,320,4
3,10578707,1060,239000,4780.0,50,1,0,0,0,0,3,3,212,5
4,10578166,1150,329000,3463.16,95,2,0,0,0,0,3,1,219,5
5,10578371,1000,985000,4457.01,221,4,0,0,0,0,2,3,121,6
6,10576898,9000,235000,5731.71,41,1,1,0,5,0,3,1,400,3
7,10576932,1120,249000,3036.59,82,2,0,0,6,0,3,1,685,1
8,10307289,3010,299000,2902.91,103,2,0,0,30,0,3,2,238,5
9,10577722,9000,299000,2669.64,112,3,0,0,5,0,3,2,193,6
10,10578260,1000,340000,4857.14,70,2,1,0,20,0,3,3,647,1
11,10572916,1420,335000,3252.43,103,2,0,0,7,0,4,3,93,7
12,10572661,1200,540000,4500.0,120,3,0,0,10,0,4,3,73,7
13,10576343,1930,299000,3833.33,78,2,0,0,6,0,4,1,345,4
14,10577928,1180,320000,3636.36,88,2,0,0,8,0,4,3,317,4
15,10572049,9800,375000,4411.76,85,2,0,44,28,0,4,3,247,7
16,10572751,1020,199000,2726.03,73,2,0,0,5,0,2,2,270,5
17,10573840,1000,225000,5921.05,38,1,1,0,2,0,3,1,269,5
18,10573843,1000,237500,4398.15,54,1,1,0,3,0,3,3,200,5
19,10573835,1000,255000,3805.97,67,2,1,0,10,0,3,3,229,5
20,10572614,1932,260000,2921.35,89,2,0,0,0,0,3,3,262,5
21,10575053,1180,265000,4416.67,60,1,0,0,4,0,3,1,199,6
22,10574976,2100,274000,3512.82,78,2,0,34,4,0,3,1,183,6
23,10574974,2140,274000,3512.82,78,2,0,34,4,0,3,1,183,6
24,10573842,1000,285000,3800.0,75,2,1,0,17,0,3,1,491,3
25,10574975,2100,285000,2766.99,103,1,0,0,6,0,3,1,171,6
26,10575091,1082,340000,2677.17,127,3,0,0,3,0,4,1,209,5
27,10572763,8300,594000,7615.38,78,3,1,0,6,0,4,1,113,6
28,10579090,1150,285000,4071.43,70,1,0,0,0,0,4,1,119,6
29,10571757,9230,169000,1965.12,86,2,1,0,4,0,3,1,492,3
30,10571119,4590,189000,1800.0,105,2,0,70,15,0,3,2,230,5
31,10570928,9000,254000,4792.45,53,1,0,0,4,0,3,2,164,6
32,10570763,1000,790000,4157.89,190,3,0,0,27,0,4,3,247,5
33,10578164,1200,279000,3100.0,90,2,0,0,0,0,1,2,259,5
34,10578060,1180,420000,3783.78,111,2,0,0,5,0,4,3,207,5
35,10578733,1200,635000,4471.83,142,3,0,0,20,0,4,3,76,7
36,10569004,8430,192000,4682.93,41,1,1,0,3,0,3,1,234,5
37,10567685,1170,195000,3823.53,51,1,0,0,2,0,3,2,79,7
38,10568883,1000,255000,3187.5,80,2,1,0,0,0,2,1,463,3
39,10568686,1080,265000,2500.0,106,2,0,0,0,0,3,1,118,6
40,10567677,1050,360000,4090.91,88,2,0,0,0,0,3,3,112,6
41,10568695,1000,412000,4527.47,91,2,1,0,7,0,3,1,62,7
42,10567500,1000,530000,3397.44,156,2,0,0,40,0,4,3,207,5
43,10567505,1080,530000,3397.44,156,2,0,0,40,0,4,3,207,5
44,10566161,7333,183000,2506.85,73,1,0,0,4,0,4,0,104,6
45,10566160,7333,220000,2471.91,89,2,0,0,4,0,4,0,70,7
46,10566159,7333,244000,2121.74,115,2,0,0,7,0,4,0,60,7
47,10576965,1080,249000,2862.07,87,2,0,0,0,0,4,3,128,6
48,10577975,9000,459000,4831.58,95,2,0,60,21,0,4,1,131,6
49,10567889,1200,245000,4537.04,54,1,1,0,5,0,4,3,277,5
50,10568413,9800,245000,3888.89,63,1,0,0,10,0,4,3,241,7
51,10579367,1190,260000,4727.27,55,1,0,0,25,0,3,2,720,1
52,10568411,9800,330000,3437.5,96,2,0,0,16,0,4,3,181,7
53,10568405,9800,370000,4512.2,82,2,0,0,28,0,4,3,241,7
54,10568409,9800,395000,3989.9,99,2,0,0,12,0,4,3,181,7
55,10568403,9800,395000,4647.06,85,2,0,0,28,0,4,3,241,7
56,10566825,9031,349000,2957.63,118,2,0,0,9,0,3,1,150,6
57,10567258,1180,520000,4297.52,121,2,0,0,6,0,3,3,95,7
58,10572917,1300,280000,3414.63,82,1,0,0,10,0,4,3,93,7
59,10575843,1200,535000,3821.43,140,4,0,0,23,0,4,1,693,1
60,10578165,1000,190000,3725.49,51,1,0,0,0,0,4,1,292,5
61,10578479,1080,280000,2121.21,132,3,0,0,15,0,3,3,334,4
62,10565758,1030,179000,2557.14,70,1,0,0,0,0,1,0,568,2
63,10565748,1000,420000,3500.0,120,2,0,0,6,0,1,1,109,6
64,10565749,1000,606000,2754.55,220,3,0,0,0,0,2,1,121,6
